"Buy","Income","Is.Female","Is.Married","Has.College","Is.Professional","Is.Retired","Unemployed","Residence.Length","Dual.Income","Minors","Own","House","White","English","Prev.Child.Mag","Prev.Parent.Mag"
0,23000,1,1,0,0,0,0,27,1,1,0,0,0,1,0,0
0,19000,1,0,0,0,0,0,5,0,0,0,0,1,1,0,0
0,33000,1,0,0,0,0,0,4,0,1,0,1,1,1,0,0
0,36000,1,0,0,1,0,0,6,0,0,0,1,1,1,0,0
1,75000,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
0,26000,0,0,1,1,0,0,3,0,0,0,0,1,1,0,0
0,19000,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0
0,5000,0,1,0,0,0,1,32,0,1,1,1,0,0,0,0
0,54000,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,4000,1,0,0,0,0,0,15,0,1,0,0,0,1,0,0
1,75000,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0
0,43000,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
1,69000,0,0,1,1,0,0,21,0,0,1,1,1,1,0,0
0,38000,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0
0,11000,1,0,0,1,0,0,13,0,0,0,0,1,1,0,0
