Month,Peak,Off Peak
2002-May,34.92,24.75
2002-Jun,45.1,29.11
2002-Jul,75.45,46.75
2002-Aug,88.04,50.43
2002-Sep,117.73,48.96
2002-Oct,62.28,38.19
2002-Nov,61.37,40.45
2002-Dec,71.32,48.06
2003-Jan,75.4,48.11
2003-Feb,97.96,78.65
2003-Mar,96.58,73.35
2003-Apr,75.66,48.12
2003-May,57.08,32.96
2003-Jun,58.62,30.47
2003-Jul,54.26,29.57
2003-Aug,66.51,37.18
2003-Sep,59.37,40.9
2003-Oct,68.95,48.13
2003-Nov,50.91,33.21
2003-Dec,55.92,37.72
2004-Jan,86.34,52.91
2004-Feb,65.03,43.44
2004-Mar,57.76,41.45
2004-Apr,56.44,38.67
2004-May,64.68,37.26
2004-Jun,61.42,34.78
2004-Jul,56.42,38.94
2004-Aug,53.52,37.3
2004-Sep,59.72,42.16
2004-Oct,57.85,43.59
2004-Nov,62.52,43.63
2004-Dec,61.07,44.62
2005-Jan,69.81,50.85
2005-Feb,56.83,43.6
2005-Mar,68.2,54.01
2005-Apr,70.05,56.92
2005-May,64.19,45.06
2005-Jun,86.54,52.68
2005-Jul,106.11,58.4
2005-Aug,122.88,64.06
2005-Sep,126.44,70.24
2005-Oct,102.9,58.98
2005-Nov,74.49,44.39
2005-Dec,103.77,65.5
2006-Jan,65.57,48.71
2006-Feb,54.27,43.36
2006-Mar,57.84,41.01
2006-Apr,56.42,36.59
2006-May,62.06,35.44
2006-Jun,55.89,38.97
2006-Jul,68.38,40.8
2006-Aug,68.07,43.8
2006-Sep,44.27,29.43
2006-Oct,50.1,33.17
2006-Nov,60.48,40.78
2006-Dec,54.26,31
2007-Jan,54.34,37.43
2007-Feb,71.84,49.05
2007-Mar,69.46,43.63
2007-Apr,58.33,38.98
2007-May,54.86,25.35
2007-Jun,59.58,34.91
2007-Jul,59.38,34.16
2007-Aug,71.65,40.88
2007-Sep,59.8,36.27
2007-Oct,60.84,40.68
2007-Nov,56.75,38.78
2007-Dec,64.46,41.4
2008-Jan,51.62,32.56
2008-Feb,68.24,40.23
2008-Mar,69.17,49.39
2008-Apr,64.28,36.55
2008-May,47.47,25.45
2008-Jun,79.91,43.33
2008-Jul,85.61,35.43
2008-Aug,62,38.79
2008-Sep,59.85,44.12
2008-Oct,56.32,36.95
2008-Nov,60.74,46.69
2008-Dec,58.65,38.09
2009-Jan,63.13,46.65
2009-Feb,58.35,39
2009-Mar,37.54,23.26
2009-Apr,28.85,10.78
2009-May,35.66,23
2009-Jun,31.57,16.59
2009-Jul,24.57,14.95
2009-Aug,36.46,20.56
2009-Sep,28,15.57
2009-Oct,35.26,25.35
2009-Nov,32.79,21.93
2009-Dec,40.05,31.91
2010-Jan,41.14,35.65
2010-Feb,40.08,32.82
2010-Mar,31.14,26.01
2010-Apr,37.62,25.97
2010-May,46.35,34.83
2010-Jun,46.11,36.15
2010-Jul,68.27,39.64
2010-Aug,53.93,39.13
2010-Sep,38.51,29.6
2010-Oct,34.29,26.46
2010-Nov,35.05,29.5
2010-Dec,37.45,32.13
2011-Jan,37.14,28.93
2011-Feb,35.07,32.33
2011-Mar,33.47,29.52
2011-Apr,35.94,24.33
2011-May,31.56,20.11
2011-Jun,43.66,23.32
2011-Jul,43.03,31.41
2011-Aug,39.91,28.53
2011-Sep,34.36,29.25
2011-Oct,32.25,26.76
2011-Nov,32.75,24.1
2011-Dec,28.92,22.96
2012-Jan,28.64,22.54
2012-Feb,22.72,21.92
2012-Mar,17.71,13.06
2012-Apr,18.78,15.82
2012-May,22.2,17.79
2012-Jun,27.83,15.47
2012-Jul,41.01,25.99
2012-Aug,31.98,26.35
2012-Sep,29.78,22.86
2012-Oct,25.93,18.62
2012-Nov,29.6,23.23
2012-Dec,28.19,23.35
2013-Jan,39.3,23.29
2013-Feb,31.27,27.44
2013-Mar,31.09,27.64
2013-Apr ,32.52,25.15
2013-May,30.55,19.6
2013-Jun,27.14,19.68
2013-Jul,39.18,23.02
2013-Aug,31.6,13.16
